Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
IND,0,0,0,0,1,942.6,1901,1911,4,1,0,1,0.34622,0.28262,100000,28262,81630,2472832,24.73,24.76
IND,0,0,0,0,1,942.6,1901,1911,4,1,1,4,0.04743,0.16854,71738,12091,254935,2391202,33.33,33.41
IND,0,0,0,0,1,942.6,1901,1911,4,1,5,5,0.01355,0.06555,59647,3910,288460,2136267,35.82,35.8
IND,0,0,0,0,1,942.6,1901,1911,4,1,10,5,0.01065,0.05189,55737,2892,271455,1847807,33.15,33.13
IND,0,0,0,0,1,942.6,1901,1911,4,1,15,5,0.01687,0.08092,52845,4276,253535,1576352,29.83,29.81
IND,0,0,0,0,1,942.6,1901,1911,4,1,20,5,0.02208,0.10461,48569,5081,230142,1322817,27.24,27.21
IND,0,0,0,0,1,942.6,1901,1911,4,1,25,5,0.02275,0.10762,43488,4680,205740,1092674,25.13,25.1
IND,0,0,0,0,1,942.6,1901,1911,4,1,30,5,0.02371,0.11191,38808,4343,183182,886934,22.85,22.83
IND,0,0,0,0,1,942.6,1901,1911,4,1,35,5,0.02634,0.12357,34465,4259,161678,703752,20.42,20.39
IND,0,0,0,0,1,942.6,1901,1911,4,1,40,5,0.03051,0.14173,30206,4281,140328,542074,17.95,17.91
IND,0,0,0,0,1,942.6,1901,1911,4,1,45,5,0.03725,0.17038,25925,4417,118582,401747,15.5,15.45
IND,0,0,0,0,1,942.6,1901,1911,4,1,50,5,0.047,0.21029,21508,4523,96232,283164,13.17,13.11
IND,0,0,0,0,1,942.6,1901,1911,4,1,55,5,0.06106,0.26488,16985,4499,73678,186932,11.01,10.94
IND,0,0,0,0,1,942.6,1901,1911,4,1,60,5,0.08085,0.3363,12486,4199,51932,113254,9.07,8.98
IND,0,0,0,0,1,942.6,1901,1911,4,1,65,5,0.10798,0.42512,8287,3523,32628,61322,7.4,7.27
IND,0,0,0,0,1,942.6,1901,1911,4,1,70,5,0.14399,0.52939,4764,2522,17515,28694,6.02,5.79
IND,0,0,0,0,1,942.6,1901,1911,4,1,75,5,0.18961,0.64318,2242,1442,7605,11179,4.99,4.5
IND,0,0,0,0,1,942.6,1901,1911,4,1,80,99,0.22381,1,800,800,3574,3574,4.47,3.11
IND,0,0,0,0,1,942.6,1901,1911,4,2,0,1,0.3597,0.29154,100000,29154,81050,2318882,23.19,23.23
IND,0,0,0,0,1,942.6,1901,1911,4,2,1,4,0.05929,0.20508,70846,14529,245042,2237832,31.59,31.69
IND,0,0,0,0,1,942.6,1901,1911,4,2,5,5,0.01434,0.0692,56317,3897,271842,1992790,35.39,35.37
IND,0,0,0,0,1,942.6,1901,1911,4,2,10,5,0.01142,0.05553,52420,2911,254822,1720948,32.83,32.82
IND,0,0,0,0,1,942.6,1901,1911,4,2,15,5,0.01762,0.08437,49509,4177,237102,1466125,29.61,29.6
IND,0,0,0,0,1,942.6,1901,1911,4,2,20,5,0.02272,0.10747,45332,4872,214480,1229023,27.11,27.1
IND,0,0,0,0,1,942.6,1901,1911,4,2,25,5,0.02337,0.11038,40460,4466,191135,1014543,25.08,25.06
IND,0,0,0,0,1,942.6,1901,1911,4,2,30,5,0.02431,0.11457,35994,4124,169660,823408,22.88,22.86
IND,0,0,0,0,1,942.6,1901,1911,4,2,35,5,0.02683,0.12573,31870,4007,149332,653748,20.51,20.49
IND,0,0,0,0,1,942.6,1901,1911,4,2,40,5,0.03082,0.14309,27863,3987,129348,504415,18.1,18.08
IND,0,0,0,0,1,942.6,1901,1911,4,2,45,5,0.03722,0.17025,23876,4065,109218,375068,15.71,15.68
IND,0,0,0,0,1,942.6,1901,1911,4,2,50,5,0.04638,0.20781,19811,4117,88762,265850,13.42,13.38
IND,0,0,0,0,1,942.6,1901,1911,4,2,55,5,0.05946,0.25883,15694,4062,68315,177088,11.28,11.24
IND,0,0,0,0,1,942.6,1901,1911,4,2,60,5,0.07768,0.32522,11632,3783,48702,108773,9.35,9.29
IND,0,0,0,0,1,942.6,1901,1911,4,2,65,5,0.10655,0.42069,7849,3302,30990,60070,7.65,7.56
IND,0,0,0,0,1,942.6,1901,1911,4,2,70,5,0.13158,0.49505,4547,2251,17108,29080,6.4,6.18
IND,0,0,0,0,1,942.6,1901,1911,4,2,75,5,0.17761,0.61498,2296,1412,7950,11973,5.21,4.69
IND,0,0,0,0,1,942.6,1901,1911,4,2,80,99,0.21975,1,884,884,4023,4023,4.55,3.18
IND,0,0,0,0,1,942.1,1911,1921,4,1,0,1,0.3514,0.28606,100000,28606,81406,2471334,24.71,24.74
IND,0,0,0,0,1,942.1,1911,1921,4,1,1,4,0.04816,0.17084,71394,12197,253278,2389928,33.48,33.55
IND,0,0,0,0,1,942.1,1911,1921,4,1,5,5,0.0133,0.06434,59197,3809,286462,2136649,36.09,36.08
IND,0,0,0,0,1,942.1,1911,1921,4,1,10,5,0.01043,0.05082,55388,2815,269902,1850187,33.4,33.38
