nfhs_round,region,hh_struc,hh_struc_share,hh_struc_n,private,public,home
2,1,1,1,2625,.30770129,.11040575,.57211506
2,1,2,1,2349,.25678882,.25516135,.47621658
2,1,3,1,919,.32146892,.26616201,.41236907
2,2,1,1,3875,.33476397,.23970813,.41243497
2,2,2,1,2642,.38580218,.23219487,.3723743
2,2,3,1,885,.31730682,.26213816,.41243026
2,3,1,1,3608,.12854029,.096197523,.77526218
2,3,2,1,4142,.17325506,.13956317,.68587869
2,3,3,1,994,.15692155,.11289068,.73018777
2,4,1,1,3986,.072212987,.054391302,.86700642
2,4,2,1,4527,.090300143,.13189456,.7735216
2,4,3,1,1281,.095819741,.1028187,.80136156
2,5,1,1,7556,.090747587,.26717713,.6420753
2,5,2,1,6375,.12215031,.31676745,.55350977
2,5,3,1,1757,.10816471,.37625745,.50821227
2,6,1,,0,,,
2,6,2,,0,,,
2,6,3,,0,,,
2,7,1,1,9100,.12956864,.17062117,.69849169
2,7,2,1,7930,.23215541,.21582425,.55099791
2,7,3,1,2708,.30914113,.2653009,.42500907
3,1,1,1,5033,.049472127,.079442509,.8660605
3,1,2,1,4840,.070432372,.21102889,.71574646
3,1,3,1,4862,.061493102,.17033853,.76575208
3,2,1,1,3637,.12205933,.056611646,.82123005
3,2,2,1,2915,.19267382,.084461369,.72158313
3,2,3,1,2704,.22749478,.082924418,.67843878
3,3,1,1,5127,.21707162,.04126595,.73055041
3,3,2,1,3940,.27407107,.13702834,.5750739
3,3,3,1,4019,.38223562,.15875995,.45704421
3,4,1,1,5733,.17598037,.4165493,.40179759
3,4,2,1,4384,.22527441,.39564469,.37271228
3,4,3,1,5078,.37471786,.32999471,.28871414
3,5,1,1,6304,.15887691,.12630676,.70491517
3,5,2,1,6193,.22935095,.20436803,.56140339
3,5,3,1,5878,.21238542,.23178308,.54771262
3,6,1,1,9345,.41461739,.36785555,.20776705
3,6,2,1,4905,.3372823,.41017848,.2353068
3,6,3,1,6945,.31928867,.47799855,.18985154
3,7,1,1,6694,.12198056,.027572451,.84787679
3,7,2,1,3337,.27760249,.10455056,.59958553
3,7,3,1,5986,.14500839,.11710167,.69144171
4,1,1,1,43218,.4753035,.16157602,.3631205
4,1,2,1,43255,.49158153,.2493909,.25902757
4,1,3,1,48335,.47605053,.2650632,.25888628
4,2,1,1,29381,.68527031,.10064219,.21408749
4,2,2,1,26689,.7022773,.13876076,.15896194
4,2,3,1,24920,.72041202,.13858888,.14099914
4,3,1,1,30293,.57569921,.13297768,.2913231
4,3,2,1,22949,.63032895,.19870199,.17096904
4,3,3,1,22471,.55205911,.23148261,.21645829
4,4,1,1,16630,.5524658,.35142481,.096109368
4,4,2,1,19078,.45029694,.48287374,.066829346
4,4,3,1,14952,.45457381,.50145215,.043974075
4,5,1,1,28947,.58883601,.20341143,.20775259
4,5,2,1,31824,.60529792,.29440254,.10029953
4,5,3,1,28018,.61341214,.30922094,.077366889
4,6,1,1,32985,.57169396,.39671576,.031590264
4,6,2,1,21251,.53301555,.43607795,.030906485
4,6,3,1,25005,.49437821,.48179662,.023825163
4,7,1,1,41423,.53889573,.084654577,.37644967
4,7,2,1,19815,.66694874,.1271598,.20589146
4,7,3,1,31015,.6220094,.14818521,.2298054
5,1,1,1,40416,.58724064,.18646817,.22629118
5,1,2,1,41599,.58169389,.28265122,.13565491
5,1,3,1,45679,.59775454,.28066084,.1215846
5,2,1,1,26391,.79747331,.085197806,.11732885
5,2,2,1,23469,.79780138,.12575738,.076441266
5,2,3,1,22267,.79848659,.1266927,.07482072
5,3,1,1,28752,.71327233,.14321841,.14350928
5,3,2,1,22061,.71750587,.2103606,.072133541
5,3,3,1,20502,.66916418,.24774593,.083089873
5,4,1,1,21841,.5856781,.37032908,.043992825
5,4,2,1,24997,.52925813,.43907493,.031666961
5,4,3,1,18203,.40377328,.56310034,.033126377
5,5,1,1,43428,.70618153,.2125154,.08130306
5,5,2,1,49936,.65808403,.30447459,.037441388
5,5,3,1,44141,.66895336,.29464716,.036399517
5,6,1,1,42621,.63155746,.36098704,.0074555045
5,6,2,1,27210,.59395075,.39665574,.0093935104
5,6,3,1,30041,.54913014,.44272625,.0081436215
5,7,1,1,38611,.73299623,.067079902,.1999239
5,7,2,1,18916,.76279777,.13674445,.10045781
5,7,3,1,24699,.76390463,.15691927,.079176098
